✅ Mamba-SSM CUDA Kernel detected!
=== LAUNCHING MAMBA BASELINE (FULL TEXT8) ===
Config: {'dataset': 'text8', 'vocab_size': 27, 'd_model': 320, 'n_layers': 6, 'dropout': 0.1, 'lr': 0.0004, 'batch_size': 16, 'seq_len': 256, 'epochs': 1, 'subset_size': 100000000, 'grad_clip': 1.0, 'save_every': 5000}
Loading text8...
Train: 90,000,000 | Valid: 10,000,000
Mamba Params: 4,064,347
Starting training for 21973 steps...
Batch 14300 | Loss: 2.3925 | BPC: 3.452 | Speed: 104673 tok/s
Batch 14400 | Loss: 2.3592 | BPC: 3.404 | Speed: 105393 tok/s
Batch 14500 | Loss: 2.3910 | BPC: 3.449 | Speed: 105362 tok/s
Batch 14600 | Loss: 2.4354 | BPC: 3.514 | Speed: 104346 tok/s
Batch 14700 | Loss: 2.3782 | BPC: 3.431 | Speed: 104206 tok/s
Batch 14800 | Loss: 2.4099 | BPC: 3.477 | Speed: 105388 tok/s
Batch 14900 | Loss: 2.4233 | BPC: 3.496 | Speed: 105349 tok/s
Batch 15000 | Loss: 2.3963 | BPC: 3.457 | Speed: 105297 tok/s
Batch 15100 | Loss: 2.3861 | BPC: 3.442 | Speed: 103576 tok/s
Batch 15200 | Loss: 2.4004 | BPC: 3.463 | Speed: 104390 tok/s
Batch 15300 | Loss: 2.3915 | BPC: 3.450 | Speed: 105483 tok/s
Batch 15400 | Loss: 2.3797 | BPC: 3.433 | Speed: 105407 tok/s
Batch 15500 | Loss: 2.4332 | BPC: 3.510 | Speed: 104977 tok/s
Batch 15600 | Loss: 2.3944 | BPC: 3.454 | Speed: 104053 tok/s
Batch 15700 | Loss: 2.3970 | BPC: 3.458 | Speed: 104631 tok/s
Batch 15800 | Loss: 2.3878 | BPC: 3.445 | Speed: 105249 tok/s
Batch 15900 | Loss: 2.3478 | BPC: 3.387 | Speed: 105374 tok/s
Batch 16000 | Loss: 2.3813 | BPC: 3.436 | Speed: 104772 tok/s
Batch 16100 | Loss: 2.4125 | BPC: 3.480 | Speed: 104118 tok/s
