=== LAUNCHING LONG RUN ON cuda ===
Config: {'dataset': 'text8', 'vocab_size': 27, 'd_model': 256, 'n_layers': 4, 'dropout': 0.1, 'lr': 0.0003, 'batch_size': 8, 'seq_len': 128, 'epochs': 1, 'subset_size': 20000000, 'grad_clip': 0.5, 'save_every': 5000}
Downloading text8...
Using subset: 20,000,000 chars
Train tokens: 19,000,000
Valid tokens: 600,000
INNv2 Parameters: 2,964,763
Total batches: 18554
Batch 10300/18554 | Loss: 0.6122 | BPC: 0.883 | Speed: 3366 tok/s
Batch 10400/18554 | Loss: 0.6091 | BPC: 0.879 | Speed: 3366 tok/s
Batch 10500/18554 | Loss: 0.6062 | BPC: 0.875 | Speed: 3366 tok/s
Batch 10600/18554 | Loss: 0.6033 | BPC: 0.870 | Speed: 3366 tok/s
Batch 10700/18554 | Loss: 0.6004 | BPC: 0.866 | Speed: 3366 tok/s
Batch 10800/18554 | Loss: 0.5976 | BPC: 0.862 | Speed: 3366 tok/s
Batch 10900/18554 | Loss: 0.5949 | BPC: 0.858 | Speed: 3366 tok/s
Batch 11000/18554 | Loss: 0.5922 | BPC: 0.854 | Speed: 3366 tok/s
Batch 11100/18554 | Loss: 0.5895 | BPC: 0.850 | Speed: 3366 tok/s
Batch 11200/18554 | Loss: 0.5869 | BPC: 0.847 | Speed: 3366 tok/s
Batch 11300/18554 | Loss: 0.5843 | BPC: 0.843 | Speed: 3366 tok/s
Batch 11400/18554 | Loss: 0.5818 | BPC: 0.839 | Speed: 3366 tok/s
Batch 11500/18554 | Loss: 0.5793 | BPC: 0.836 | Speed: 3366 tok/s
Batch 11600/18554 | Loss: 0.5769 | BPC: 0.832 | Speed: 3366 tok/s
Batch 11700/18554 | Loss: 0.5745 | BPC: 0.829 | Speed: 3366 tok/s
Batch 11800/18554 | Loss: 0.5722 | BPC: 0.826 | Speed: 3366 tok/s
Batch 11900/18554 | Loss: 0.5699 | BPC: 0.822 | Speed: 3366 tok/s
Batch 12000/18554 | Loss: 0.5676 | BPC: 0.819 | Speed: 3366 tok/s
Batch 12100/18554 | Loss: 0.5654 | BPC: 0.816 | Speed: 3366 tok/s
Batch 12200/18554 | Loss: 0.5632 | BPC: 0.813 | Speed: 3367 tok/s
Batch 12300/18554 | Loss: 0.5610 | BPC: 0.809 | Speed: 3367 tok/s
Batch 12400/18554 | Loss: 0.5589 | BPC: 0.806 | Speed: 3367 tok/s
Batch 12500/18554 | Loss: 0.5568 | BPC: 0.803 | Speed: 3367 tok/s
Batch 12600/18554 | Loss: 0.5548 | BPC: 0.800 | Speed: 3367 tok/s
Batch 12700/18554 | Loss: 0.5527 | BPC: 0.797 | Speed: 3367 tok/s
Batch 12800/18554 | Loss: 0.5507 | BPC: 0.795 | Speed: 3367 tok/s
Batch 12900/18554 | Loss: 0.5488 | BPC: 0.792 | Speed: 3367 tok/s
Batch 13000/18554 | Loss: 0.5469 | BPC: 0.789 | Speed: 3367 tok/s
Batch 13100/18554 | Loss: 0.5450 | BPC: 0.786 | Speed: 3367 tok/s
Batch 13200/18554 | Loss: 0.5431 | BPC: 0.784 | Speed: 3367 tok/s
Batch 13300/18554 | Loss: 0.5412 | BPC: 0.781 | Speed: 3367 tok/s
Batch 13400/18554 | Loss: 0.5394 | BPC: 0.778 | Speed: 3367 tok/s
Batch 13500/18554 | Loss: 0.5376 | BPC: 0.776 | Speed: 3367 tok/s
Batch 13600/18554 | Loss: 0.5359 | BPC: 0.773 | Speed: 3367 tok/s
Batch 13700/18554 | Loss: 0.5341 | BPC: 0.771 | Speed: 3367 tok/s
Batch 13800/18554 | Loss: 0.5324 | BPC: 0.768 | Speed: 3367 tok/s
Batch 13900/18554 | Loss: 0.5307 | BPC: 0.766 | Speed: 3367 tok/s
Batch 14000/18554 | Loss: 0.5290 | BPC: 0.763 | Speed: 3367 tok/s
Batch 14100/18554 | Loss: 0.5274 | BPC: 0.761 | Speed: 3367 tok/s
Batch 14200/18554 | Loss: 0.5258 | BPC: 0.759 | Speed: 3367 tok/s
Batch 14300/18554 | Loss: 0.5242 | BPC: 0.756 | Speed: 3367 tok/s
