✅ Mamba-SSM CUDA Kernel detected!
=== LAUNCHING MAMBA BASELINE (FULL TEXT8) ===
Config: {'dataset': 'text8', 'vocab_size': 27, 'd_model': 256, 'n_layers': 6, 'dropout': 0.1, 'lr': 0.0004, 'batch_size': 16, 'seq_len': 256, 'epochs': 1, 'subset_size': 100000000, 'grad_clip': 1.0, 'save_every': 5000}
Loading text8...
Train: 90,000,000 | Valid: 10,000,000
Mamba Params: 2,637,083
Starting training for 21973 steps...
Batch 17400 | Loss: 2.3903 | BPC: 3.449 | Speed: 129945 tok/s
Batch 17500 | Loss: 2.3591 | BPC: 3.404 | Speed: 130013 tok/s
Batch 17600 | Loss: 2.3934 | BPC: 3.453 | Speed: 130277 tok/s
Batch 17700 | Loss: 2.4027 | BPC: 3.466 | Speed: 130197 tok/s
Batch 17800 | Loss: 2.3524 | BPC: 3.394 | Speed: 131652 tok/s
Batch 17900 | Loss: 2.3685 | BPC: 3.417 | Speed: 131851 tok/s
Batch 18000 | Loss: 2.4133 | BPC: 3.482 | Speed: 131558 tok/s
Batch 18100 | Loss: 2.4045 | BPC: 3.469 | Speed: 131448 tok/s
Batch 18200 | Loss: 2.3619 | BPC: 3.408 | Speed: 130368 tok/s
Batch 18300 | Loss: 2.4017 | BPC: 3.465 | Speed: 130389 tok/s
Batch 18400 | Loss: 2.3775 | BPC: 3.430 | Speed: 130552 tok/s
Batch 18500 | Loss: 2.3657 | BPC: 3.413 | Speed: 130716 tok/s
Batch 18600 | Loss: 2.4014 | BPC: 3.464 | Speed: 131412 tok/s
Batch 18700 | Loss: 2.4136 | BPC: 3.482 | Speed: 132634 tok/s
Batch 18800 | Loss: 2.4274 | BPC: 3.502 | Speed: 132547 tok/s
Batch 18900 | Loss: 2.3719 | BPC: 3.422 | Speed: 132596 tok/s
Batch 19000 | Loss: 2.3390 | BPC: 3.375 | Speed: 131695 tok/s
Batch 19100 | Loss: 2.3870 | BPC: 3.444 | Speed: 130809 tok/s
Batch 19200 | Loss: 2.3644 | BPC: 3.411 | Speed: 130720 tok/s
Batch 19300 | Loss: 2.3977 | BPC: 3.459 | Speed: 130776 tok/s
Batch 19400 | Loss: 2.3593 | BPC: 3.404 | Speed: 130658 tok/s
Batch 19500 | Loss: 2.3557 | BPC: 3.399 | Speed: 132405 tok/s
Batch 19600 | Loss: 2.3438 | BPC: 3.381 | Speed: 132596 tok/s
Batch 19700 | Loss: 2.3871 | BPC: 3.444 | Speed: 132525 tok/s
Batch 19800 | Loss: 2.4131 | BPC: 3.481 | Speed: 132386 tok/s
Batch 19900 | Loss: 2.3725 | BPC: 3.423 | Speed: 130879 tok/s
Batch 20000 | Loss: 2.3737 | BPC: 3.424 | Speed: 130560 tok/s
Batch 20100 | Loss: 2.3967 | BPC: 3.458 | Speed: 130074 tok/s
Batch 20200 | Loss: 2.3746 | BPC: 3.426 | Speed: 130845 tok/s
Batch 20300 | Loss: 2.4063 | BPC: 3.472 | Speed: 132162 tok/s
Batch 20400 | Loss: 2.3304 | BPC: 3.362 | Speed: 132531 tok/s
Batch 20500 | Loss: 2.3428 | BPC: 3.380 | Speed: 132662 tok/s
Batch 20600 | Loss: 2.3606 | BPC: 3.406 | Speed: 132530 tok/s
Batch 20700 | Loss: 2.3817 | BPC: 3.436 | Speed: 130729 tok/s
Batch 20800 | Loss: 2.3612 | BPC: 3.407 | Speed: 130587 tok/s
Batch 20900 | Loss: 2.3670 | BPC: 3.415 | Speed: 130728 tok/s
Batch 21000 | Loss: 2.3950 | BPC: 3.455 | Speed: 128957 tok/s
Batch 21100 | Loss: 2.4133 | BPC: 3.482 | Speed: 131610 tok/s
Batch 21200 | Loss: 2.3810 | BPC: 3.435 | Speed: 132565 tok/s
Batch 21300 | Loss: 2.3940 | BPC: 3.454 | Speed: 132537 tok/s
Batch 21400 | Loss: 2.3817 | BPC: 3.436 | Speed: 132502 tok/s
Batch 21500 | Loss: 2.3957 | BPC: 3.456 | Speed: 131538 tok/s
Batch 21600 | Loss: 2.4439 | BPC: 3.526 | Speed: 130843 tok/s
Batch 21700 | Loss: 2.4366 | BPC: 3.515 | Speed: 130678 tok/s
Batch 21800 | Loss: 2.3833 | BPC: 3.438 | Speed: 130869 tok/s
Batch 21900 | Loss: 2.3368 | BPC: 3.371 | Speed: 130617 tok/s
Evaluating...
Valid BPC: 3.4381
